id ,admissionno,codeno,studentidno,sadmissionidno,photo,imagesize,aadharno,studentname,gender,16-11-2022,bloodgroup,fathername,fatheroccupation,mothername,motheroccupation,address1,address2,city,pincode,district,state,phone,moblie,religion,cast,nation,currentclass,section,broadof,currentyear,schoolname,schoolbranch,schoolidno,teacheridno,email,passwords,token,sastatus,sssstatusprocess,emailverfied,phoneverified,moblieverified,officename,officebranch,officeidno,datetime,verifiedondate
,78600594,502032,60509071,78600594,,,0,Franklin Nichols,Male,04-04-2011,A+ve,Robert Humphrey,GOVERNMENT,Michael Grant,OTHER,"612 Amy Spurs Suite 223
North Karen, WA 20487","612 Amy Spurs Suite 223
North Karen, WA 20487",Narsinghpur,754213,Kendrapara,Odisha,9658190991,9792314816,GEN,,INDIAN,1CLASS,A,board of secondary education,2022,SAVELFLDB8AH,SATANSB1QB24LT,1438706295,3257069841,cameronamanda@example.org,,,ACTIVATION-PENDING	,STUDYING,0,0,0,aeFhifDLAGlE,pxrzwnyovsuq,85241039,04-09-2022 17:21,
,19904768,212404,60828879,19904768,,,0,Jennifer Shaffer,Male,01-10-2012,B+ve,William Clark,BUSINESS,Karen Coleman,OTHER,"34810 Jay Route Apt. 547
New Scott, LA 31583","34810 Jay Route Apt. 547
New Scott, LA 31583",Bhilwara,311001,Bhilwara,Rajasthan,9460988206,9909459696,GEN,,INDIAN,1CLASS,A,board of secondary education,2022,SAVELFLDB8AH,SATANSB1QB24LT,1438706295,3257069841,leejane@example.com,,,ACTIVATION-PENDING	,STUDYING,0,0,0,aeFhifDLAGlE,pxrzwnyovsuq,85241039,05-09-2022 17:21,
,22020178,382850,60912228,22020178,,,0,Beth Campbell,Male,06-02-2012,B+ve,Amber Lee,ENGINEERING,Anna Yates,OTHER,"61959 Patterson Ways Apt. 749
Kendraville, NJ 03997","61959 Patterson Ways Apt. 749
Kendraville, NJ 03997",Tekari,222135,Jaunpur,Uttar Pradesh,9838764945,9418214940,GEN,,INDIAN,1CLASS,A,board of secondary education,2022,SAVELFLDB8AH,SATANSB1QB24LT,1438706295,3257069841,kylemiller@example.com,,,ACTIVATION-PENDING	,STUDYING,0,0,0,aeFhifDLAGlE,pxrzwnyovsuq,85241039,06-09-2022 17:21,
,16909940,177038,60664198,16909940,,,0,Gina Alvarado,Female,26-09-2017,B+ve,Noah Foster MD,DOCTOR,Jesse Perkins,TEACHING,"827 Johnston Springs
Aguilarfort, OR 93285","827 Johnston Springs
Aguilarfort, OR 93285",Murtizapur,444107,Akola,Maharashtra,9011293904,9829667779,GEN,,INDIAN,1CLASS,A,board of secondary education,2022,SAVELFLDB8AH,SATANSB1QB24LT,1438706295,3257069841,gonzalezluis@example.net,,,ACTIVATION-PENDING	,STUDYING,0,0,0,aeFhifDLAGlE,pxrzwnyovsuq,85241039,07-09-2022 17:21,
,80109246,302025,60597555,80109246,,,0,Sandra Chambers,Male,12-08-2013,B+ve,Heather Williams,PUBLIC SECTOR,Patricia Garcia,TEACHING,"003 Garcia Court
Ginaville, MI 40286","003 Garcia Court
Ginaville, MI 40286",Thirumullai Voil,600062,Chennai,Tamil Nadu,9444162477,9270265297,GEN,,INDIAN,1CLASS,A,board of secondary education,2022,SAVELFLDB8AH,SATANSB1QB24LT,1438706295,3257069841,kjohnson@example.net,,,ACTIVATION-PENDING	,STUDYING,0,0,0,aeFhifDLAGlE,pxrzwnyovsuq,85241039,08-09-2022 17:21,
,10906398,415604,60926029,10906398,,,0,Brandon Manning,Male,23-02-2019,B+ve,Michelle Hicks,DOCTOR,Henry Martinez,DOCTOR,"3971 Young Squares Suite 860
Grayside, OR 22294","3971 Young Squares Suite 860
Grayside, OR 22294",Patna,800001,Patna,Bihar,8102680003,8948700309,GEN,,INDIAN,1CLASS,A,board of secondary education,2022,SAVELFLDB8AH,SATANSB1QB24LT,1438706295,3257069841,jyang@example.net,,,ACTIVATION-PENDING	,STUDYING,0,0,0,aeFhifDLAGlE,pxrzwnyovsuq,85241039,09-09-2022 17:21,
,12501556,274506,60624489,12501556,,,0,Janice Campbell,Male,22-06-2022,B+ve,Virginia Rivera,BUSINESS,Jessica Sanders,OTHER,"55033 Ortiz Branch
East Jamiefurt, CT 66682","55033 Ortiz Branch
East Jamiefurt, CT 66682",Rajkot,360005,Rajkot,Gujarat,9426414263,8084540321,GEN,,INDIAN,1CLASS,A,board of secondary education,2022,SAVELFLDB8AH,SATANSB1QB24LT,1438706295,3257069841,theresa42@example.com,,,ACTIVATION-PENDING	,STUDYING,0,0,0,aeFhifDLAGlE,pxrzwnyovsuq,85241039,10-09-2022 17:21,
,71800556,803119,60966941,71800556,,,0,Jacqueline Beard,Male,14-08-2017,O+ve,Mark Wright,BUSINESS,Jade Duncan,OTHER,"1378 Roberts Club
Deborahfort, GA 23485","1378 Roberts Club
Deborahfort, GA 23485",Nava Naroda,382330,Ahmedabad,Gujarat,9825924078,8975408040,GEN,,INDIAN,1CLASS,A,board of secondary education,2022,SAVELFLDB8AH,SATANSB1QB24LT,1438706295,3257069841,wbrock@example.org,,,ACTIVATION-PENDING	,STUDYING,0,0,0,aeFhifDLAGlE,pxrzwnyovsuq,85241039,11-09-2022 17:21,
,12611605,412207,60750954,12611605,,,0,Jennifer Hart,Male,31-05-2020,B+ve,Tara Jones,PRIVATE SERVICE,Maria Arroyo,OTHER,"88776 Valdez Orchard
South Cynthia, WA 96594","88776 Valdez Orchard
South Cynthia, WA 96594",Althan Main Road,395017,Surat,Gujarat,8000034522,8601154005,GEN,,INDIAN,1CLASS,A,board of secondary education,2022,SAVELFLDB8AH,SATANSB1QB24LT,1438706295,3257069841,iguerra@example.net,,,ACTIVATION-PENDING	,STUDYING,0,0,0,aeFhifDLAGlE,pxrzwnyovsuq,85241039,12-09-2022 17:21,
,11617148,273152,60124173,11617148,,,0,Traci Johnson,Male,23-04-2015,AB+ve,Stephen Montoya,GOVERNMENT,Melissa Jordan,TEACHING,"427 Emily Estate Suite 191
Clarkeland, UT 07439","427 Emily Estate Suite 191
Clarkeland, UT 07439",Dwarka,110077,Dwarka,Delhi,9811212618,9849513282,OBC,,INDIAN,1CLASS,A,board of secondary education,2022,SAVELFLDB8AH,SATANSB1QB24LT,1438706295,3257069841,juan11@example.com,,,ACTIVATION-PENDING	,STUDYING,0,0,0,aeFhifDLAGlE,pxrzwnyovsuq,85241039,13-09-2022 17:21,
,12610929,534102,60489449,12610929,,,0,Jessica Smith,Male,11-10-2015,O+ve,Brandy Barnes,GOVERNMENT,Nancy Watson,OTHER,"0504 Rachel Plains Apt. 802
South Linda, NJ 41685","0504 Rachel Plains Apt. 802
South Linda, NJ 41685",Surat,395002,Surat,Gujarat,9586065924,9766288373,GEN,,INDIAN,2CLASS,A,board of secondary education,2022,SAVELFLDB8AH,SATANSB1QB24LT,1438706295,3257069841,hardyrobin@example.org,,,ACTIVATION-PENDING	,STUDYING,0,0,0,aeFhifDLAGlE,pxrzwnyovsuq,85241039,14-09-2022 17:21,
,16907876,445001,60732948,16907876,,,0,Katie Keller,Female,14-10-2016,AB-ve,Jennifer Fox,GOVERNMENT,Dr. Sydney Gardner,GOVERNMENT,"56690 Horn Inlet
Lisabury, GA 58860","56690 Horn Inlet
Lisabury, GA 58860",Kalamjapur,444904,Amravati,Maharashtra,8975682204,9570905761,GEN,,INDIAN,2CLASS,A,board of secondary education,2022,SAVELFLDB8AH,SATANSB1QB24LT,1438706295,3257069841,kweber@example.org,,,ACTIVATION-PENDING	,STUDYING,0,0,0,aeFhifDLAGlE,pxrzwnyovsuq,85241039,15-09-2022 17:21,
,18614433,805130,60596866,18614433,,,0,Molly Brock,Female,24-06-2010,B-ve,Ryan King,BUSINESS,Thomas Murphy,GOVERNMENT,"56555 Brittany Manor Apt. 104
East Bonnie, WI 94830","56555 Brittany Manor Apt. 104
East Bonnie, WI 94830",Bhubaneswar,751016,Khurda,Odisha,9861274858,8795125848,GEN,,INDIAN,2CLASS,A,board of secondary education,2022,SAVELFLDB8AH,SATANSB1QB24LT,1438706295,3257069841,woodsheather@example.net,,,ACTIVATION-PENDING	,STUDYING,0,0,0,aeFhifDLAGlE,pxrzwnyovsuq,85241039,16-09-2022 17:21,
,14305812,274204,60672948,14305812,,,0,David Pena,Female,30-10-2016,AB-ve,Tara Contreras,AGRICULTURE,Laura Curtis,OTHER,"4736 Jason Point Apt. 247
Tonyastad, ME 29262","4736 Jason Point Apt. 247
Tonyastad, ME 29262",City,583231,Koppal,Karnataka,9448528320,9431558591,GEN,,INDIAN,2CLASS,A,board of secondary education,2022,SAVELFLDB8AH,SATANSB1QB24LT,1438706295,3257069841,christopherhart@example.net,,,ACTIVATION-PENDING	,STUDYING,0,0,0,aeFhifDLAGlE,pxrzwnyovsuq,85241039,17-09-2022 17:21,
,80800881,834002,60520762,80800881,,,0,Alexander Cohen,Female,20-09-2011,B+ve,Clayton Lopez,BUSINESS,Natasha Mayo,OTHER,"71554 Justin Shoal
Barbaraport, MT 23688","71554 Justin Shoal
Barbaraport, MT 23688",Baman Gaon ,249137,Tehri Garhwal,Uttarakhand,8445951977,8302320093,OBC,,INDIAN,2CLASS,A,board of secondary education,2022,SAVELFLDB8AH,SATANSB1QB24LT,1438706295,3257069841,manuelrobbins@example.org,,,ACTIVATION-PENDING	,STUDYING,0,0,0,aeFhifDLAGlE,pxrzwnyovsuq,85241039,18-09-2022 17:21,
,15801577,110009,60524854,15801577,,,0,Kendra Pierce,Male,31-10-2020,A+ve,Penny Baker,PUBLIC SECTOR,Karen Moore,GOVERNMENT,"26160 Adams Centers Suite 965
Brianfort, RI 27528","26160 Adams Centers Suite 965
Brianfort, RI 27528",Madan Mahal,482001,Jabalpur,Madhya Pradesh,8461896710,9452868790,GEN,,INDIAN,2CLASS,A,board of secondary education,2022,SAVELFLDB8AH,SATANSB1QB24LT,1438706295,3257069841,smallcole@example.org,,,ACTIVATION-PENDING	,STUDYING,0,0,0,aeFhifDLAGlE,pxrzwnyovsuq,85241039,19-09-2022 17:21,
,18000603,231001,60856779,18000603,,,0,Jessica Bauer,Male,03-05-2022,O+ve,Matthew Martin,BUSINESS,Jane Stewart,OTHER,"539 Jones Row Apt. 984
Brownmouth, NE 99713","539 Jones Row Apt. 984
Brownmouth, NE 99713",Purana Bazar,797112,Dimapur,Nagaland,7308764392,8058823727,GEN,,INDIAN,2CLASS,A,board of secondary education,2022,SAVELFLDB8AH,SATANSB1QB24LT,1438706295,3257069841,gary76@example.net,,,ACTIVATION-PENDING	,STUDYING,0,0,0,aeFhifDLAGlE,pxrzwnyovsuq,85241039,20-09-2022 17:21,
,11203754,332709,60371733,11203754,,,0,Kimberly Robinson,Female,19-09-2018,O+ve,Jacob Shaw,PRIVATE SERVICE,Wesley Benjamin,OTHER,"3711 Natasha Circle
Davidport, CT 55258","3711 Natasha Circle
Davidport, CT 55258",Patiala,147001,Patiala,Punjab,7837446632,9812403305,GEN,,INDIAN,2CLASS,A,board of secondary education,2022,SAVELFLDB8AH,SATANSB1QB24LT,1438706295,3257069841,qcooper@example.org,,,ACTIVATION-PENDING	,STUDYING,0,0,0,aeFhifDLAGlE,pxrzwnyovsuq,85241039,21-09-2022 17:21,
,11653698,132103,60801144,11653698,,,0,Paula Weaver,Male,15-05-2019,O+ve,Mercedes Lopez,ENGINEERING,James Martin,OTHER,"7069 Bennett Parks Suite 557
North Meghanburgh, CT 95740","7069 Bennett Parks Suite 557
North Meghanburgh, CT 95740",Meerut,250002,Meerut,Uttar Pradesh,7599168019,9435787738,GEN,,INDIAN,2CLASS,A,board of secondary education,2022,SAVELFLDB8AH,SATANSB1QB24LT,1438706295,3257069841,aaron99@example.org,,,ACTIVATION-PENDING	,STUDYING,0,0,0,aeFhifDLAGlE,pxrzwnyovsuq,85241039,22-09-2022 17:21,
,10307292,782127,60291515,10307292,,,0,Drew Oliver,Male,06-02-2018,O+ve,Tiffany Holloway,GOVERNMENT,Ashley Smith,OTHER,"17945 Hoffman Brook
South Melaniefort, RI 08154","17945 Hoffman Brook
South Melaniefort, RI 08154",Dhone Mandal,518222,Kurnool,Andhra Pradesh,7386120134,8269786945,GEN,,INDIAN,2CLASS,A,board of secondary education,2022,SAVELFLDB8AH,SATANSB1QB24LT,1438706295,3257069841,kingkevin@example.org,,,ACTIVATION-PENDING	,STUDYING,0,0,0,aeFhifDLAGlE,pxrzwnyovsuq,85241039,23-09-2022 17:21,
,10207314,453001,60740629,10207314,,,0,Dominic Long,Male,17-01-2020,O+ve,Jeffrey Reed,OTHER,Megan Wallace,OTHER,"4860 Jennifer Dam Suite 529
Lake Jaime, RI 14962","4860 Jennifer Dam Suite 529
Lake Jaime, RI 14962",Guntur,522003,Guntur,Andhra Pradesh,9052724087,9913311500,GEN,,INDIAN,2CLASS,A,board of secondary education,2022,SAVELFLDB8AH,SATANSB1QB24LT,1438706295,3257069841,davischristian@example.com,,,ACTIVATION-PENDING	,STUDYING,0,0,0,aeFhifDLAGlE,pxrzwnyovsuq,85241039,24-09-2022 17:21,
,12900339,395006,60141570,12900339,,,0,Diane Thomas,Female,28-08-2019,B+ve,Xavier Johnston,BUSINESS,Michael Wu,OTHER,"964 Katherine Forges Apt. 317
Malonehaven, PA 76841","964 Katherine Forges Apt. 317
Malonehaven, PA 76841",Faridabad,121006,Faridabad,Haryana,9911319706,9784258727,GEN,,INDIAN,2CLASS,A,board of secondary education,2022,SAVELFLDB8AH,SATANSB1QB24LT,1438706295,3257069841,larry55@example.org,,,ACTIVATION-PENDING	,STUDYING,0,0,0,aeFhifDLAGlE,pxrzwnyovsuq,85241039,25-09-2022 17:21,
,21815190,332718,60430326,21815190,,,0,Christina Montgomery,Male,19-05-2015,A+ve,Kurt Hall,GOVERNMENT,Edwin Cooper,OTHER,"410 Tabitha Keys
Jacquelinefort, KS 29332","410 Tabitha Keys
Jacquelinefort, KS 29332",Hamirpur,210301,Hamirpur,Uttar Pradesh,7678826392,7549658037,GEN,,INDIAN,2CLASS,A,board of secondary education,2022,SAVELFLDB8AH,SATANSB1QB24LT,1438706295,3257069841,robertanthony@example.org,,,ACTIVATION-PENDING	,STUDYING,0,0,0,aeFhifDLAGlE,pxrzwnyovsuq,85241039,26-09-2022 17:21,
,74201170,851134,60910880,74201170,,,0,Phyllis Stone,Female,01-06-2021,B+ve,Michael Martinez,BUSINESS,Kenneth Watson,BUSINESS,"154 Julie Roads
East John, WV 08961","154 Julie Roads
East John, WV 08961",Devanahalli Town,562110,Bangalore Rural,Karnataka,9483097659,9937644109,GEN,,INDIAN,2CLASS,A,board of secondary education,2022,SAVELFLDB8AH,SATANSB1QB24LT,1438706295,3257069841,rosebrent@example.com,,,ACTIVATION-PENDING	,STUDYING,0,0,0,aeFhifDLAGlE,pxrzwnyovsuq,85241039,27-09-2022 17:21,
,77102528,754031,60372586,77102528,,,0,Scott Day,Female,04-11-2022,B+ve,Maria Morrow,DOCTOR,Christina Hartman,DOCTOR,"71744 Michelle Valley Suite 570
Robinborough, SC 04715","71744 Michelle Valley Suite 570
Robinborough, SC 04715",Mumbai,400067,Mumbai,Maharashtra,9869507654,9925501265,GEN,,INDIAN,2CLASS,A,board of secondary education,2022,SAVELFLDB8AH,SATANSB1QB24LT,1438706295,3257069841,kathleencooper@example.org,,,ACTIVATION-PENDING	,STUDYING,0,0,0,aeFhifDLAGlE,pxrzwnyovsuq,85241039,28-09-2022 17:21,
,20600559,388001,60813670,20600559,,,0,Jordan Jackson,Male,19-08-2012,B+ve,Ronald Cruz,ENGINEERING,Pamela Miles,OTHER,"345 Stephenson Valleys Apt. 981
Kimberlybury, NE 50360","345 Stephenson Valleys Apt. 981
Kimberlybury, NE 50360",Warangal,506001,Warangal,Telangana,9848073478,9760625035,GEN,,INDIAN,2CLASS,A,board of secondary education,2022,SAVELFLDB8AH,SATANSB1QB24LT,1438706295,3257069841,andrew96@example.net,,,ACTIVATION-PENDING	,STUDYING,0,0,0,aeFhifDLAGlE,pxrzwnyovsuq,85241039,29-09-2022 17:21,
,13708699,248001,60441887,13708699,,,0,Shirley Hobbs,Female,13-02-2019,A+ve,Andrew Kelly,ADVOCATE,Connie Lowe,TEACHING,"71602 Shelton Vista
Robertsonland, NY 78327","71602 Shelton Vista
Robertsonland, NY 78327",Srinagar,190005,Srinagar,Jammu & Kashmir,9697141223,7696152953,GEN,,INDIAN,2CLASS,A,board of secondary education,2022,SAVELFLDB8AH,SATANSB1QB24LT,1438706295,3257069841,jamesguerrero@example.net,,,ACTIVATION-PENDING	,STUDYING,0,0,0,aeFhifDLAGlE,pxrzwnyovsuq,85241039,30-09-2022 17:21,
,71201664,144207,60784816,71201664,,,0,Andrea Morse,Male,28-01-2021,O+ve,Lynn Briggs,GOVERNMENT,Randy Wood,GOVERNMENT,"5187 Woods Road Suite 054
Smithview, AL 62118","5187 Woods Road Suite 054
Smithview, AL 62118",Gpo Shimla,171001,Shimla,Himachal Pradesh,7307895125,7507212666,GEN,,INDIAN,2CLASS,A,board of secondary education,2022,SAVELFLDB8AH,SATANSB1QB24LT,1438706295,3257069841,ashleycarpenter@example.net,,,ACTIVATION-PENDING	,STUDYING,0,0,0,aeFhifDLAGlE,pxrzwnyovsuq,85241039,01-10-2022 17:21,
,12900967,444602,60707602,12900967,,,0,Cory Murphy,Female,31-12-2013,B+ve,Janet Smith,BUSINESS,Nicholas Jones,OTHER,"60343 Stuart Stravenue Apt. 107
Millershire, UT 90127","60343 Stuart Stravenue Apt. 107
Millershire, UT 90127",Hodal,121106,Palwal,Haryana,9812022056,8087351413,GEN,,INDIAN,2CLASS,A,board of secondary education,2022,SAVELFLDB8AH,SATANSB1QB24LT,1438706295,3257069841,nrogers@example.org,,,ACTIVATION-PENDING	,STUDYING,0,0,0,aeFhifDLAGlE,pxrzwnyovsuq,85241039,02-10-2022 17:21,
,22021163,441501,60653929,22021163,,,0,Robert Stone,Male,10-08-2018,B+ve,Heather Wilson,DOCTOR,Christian Greer,DOCTOR,"361 Martin Landing
Bryanburgh, DE 92262","361 Martin Landing
Bryanburgh, DE 92262",Jaunpur,222128,Jaunpur,Uttar Pradesh,9792049765,9888440694,GEN,,INDIAN,2CLASS,A,board of secondary education,2022,SAVELFLDB8AH,SATANSB1QB24LT,1438706295,3257069841,betty70@example.org,,,ACTIVATION-PENDING	,STUDYING,0,0,0,aeFhifDLAGlE,pxrzwnyovsuq,85241039,03-10-2022 17:21,
,12603519,110051,60564730,12603519,,,0,Mark Shepard,Male,06-06-2016,B+ve,Lisa White,GOVERNMENT,Bethany Kane,OTHER,"19056 Wells Passage Suite 033
New Sarah, KY 47925","19056 Wells Passage Suite 033
New Sarah, KY 47925",Surat,395004,Surat,Gujarat,9157594834,9391626929,GEN,,INDIAN,3CLASS,A,board of secondary education,2022,SAVELFLDB8AH,SATANSB1QB24LT,1438706295,3257069841,timothy85@example.com,,,ACTIVATION-PENDING	,STUDYING,0,0,0,aeFhifDLAGlE,pxrzwnyovsuq,85241039,04-10-2022 17:21,
,15206873,500032,60580406,15206873,,,0,Stacey Mcneil,Female,21-02-2015,A+ve,Barbara Holmes,GOVERNMENT,David Brown,OTHER,"5872 Corey Roads
Lorraineberg, GA 56728","5872 Corey Roads
Lorraineberg, GA 56728",Bhopal,462016,Bhopal,Madhya Pradesh,9425647871,8109775889,ST,,INDIAN,3CLASS,A,board of secondary education,2022,SAVELFLDB8AH,SATANSB1QB24LT,1438706295,3257069841,dustin86@example.net,,,ACTIVATION-PENDING	,STUDYING,0,0,0,aeFhifDLAGlE,pxrzwnyovsuq,85241039,05-10-2022 17:21,
,10509563,481331,60579278,10509563,,,0,Amy Harrison,Female,20-12-2010,A+ve,Lori Palmer,GOVERNMENT,Benjamin Stout,GOVERNMENT,"304 Jesus Green
South Carolineburgh, IA 64857","304 Jesus Green
South Carolineburgh, IA 64857",Visakhapatnam,530016,Visakhapatnam,Andhra Pradesh,9390604509,9922236131,GEN,,INDIAN,3CLASS,A,board of secondary education,2022,SAVELFLDB8AH,SATANSB1QB24LT,1438706295,3257069841,edward68@example.net,,,ACTIVATION-PENDING	,STUDYING,0,0,0,aeFhifDLAGlE,pxrzwnyovsuq,85241039,06-10-2022 17:21,
,22317554,443201,60492419,22317554,,,0,Lisa Perkins,Female,11-10-2014,A+ve,Nina Smith,GOVERNMENT,Justin Jordan,GOVERNMENT,"PSC 0329, Box 2308
APO AE 42280","PSC 0329, Box 2308
APO AE 42280",Kolkata,700061,Kolkata,West Bengal,8902195083,9827764955,GEN,,INDIAN,3CLASS,A,board of secondary education,2022,SAVELFLDB8AH,SATANSB1QB24LT,1438706295,3257069841,xchen@example.org,,,ACTIVATION-PENDING	,STUDYING,0,0,0,aeFhifDLAGlE,pxrzwnyovsuq,85241039,07-10-2022 17:21,
